regatta_id,race_id,date,start_time,race_no,event,round,distance_m,lane,seed,team_name,team_id,place,time,status,page
2025_GWNC,2025-09-06-R25,2025-09-06,1:54 PM,25,MIXED 500M QUALIFYING,Qualifying,500,6,,Dragon Babies,79,5,03:19.4,,4
2025_GWNC,2025-09-06-R26,2025-09-06,1:54 PM,26,MIXED 500M QUALIFYING,Qualifying,500,1,,CAATsters Team 1 (S),52,6,03:20.7,,4
2025_GWNC,2025-09-06-R26,2025-09-06,2:06 PM,26,MIXED 500M QUALIFYING,Qualifying,500,2,,Water Vipers Masters powered by Afterburn Fitness,3,1,02:18.2,,4
2025_GWNC,2025-09-06-R26,2025-09-06,2:06 PM,26,MIXED 500M QUALIFYING,Qualifying,500,3,,PwC Cruisers,33,3,02:45.5,,4
2025_GWNC,2025-09-06-R26,2025-09-06,2:06 PM,26,MIXED 500M QUALIFYING,Qualifying,500,4,,Toronto Wyvern Club,7,2,02:30.4,,4
2025_GWNC,2025-09-06-R26,2025-09-06,2:06 PM,26,MIXED 500M QUALIFYING,Qualifying,500,5,,CSA Beyond 100,71,5,02:53.8,,4
2025_GWNC,2025-09-06-R26,2025-09-06,2:06 PM,26,MIXED 500M QUALIFYING,Qualifying,500,6,,OPS Uncivil Dragons,46,4,02:48.6,,4
2025_GWNC,2025-09-06-R27,2025-09-06,2:06 PM,27,MIXED 500M QUALIFYING,Qualifying,500,1,,CAATsters Team 2 (S),53,5,03:12.5,,4
2025_GWNC,2025-09-06-R27,2025-09-06,2:18 PM,27,MIXED 500M QUALIFYING,Qualifying,500,2,,Boat Daddy,64,4,02:57.6,,4
2025_GWNC,2025-09-06-R27,2025-09-06,2:18 PM,27,MIXED 500M QUALIFYING,Qualifying,500,3,,Holyship,45,2,02:35.7,,4
2025_GWNC,2025-09-06-R27,2025-09-06,2:18 PM,27,MIXED 500M QUALIFYING,Qualifying,500,4,,GoPink!DC,27,3,02:55.4,,4
2025_GWNC,2025-09-06-R27,2025-09-06,2:18 PM,27,MIXED 500M QUALIFYING,Qualifying,500,5,,Blueberry JAM,72,6,03:14.1,,4
2025_GWNC,2025-09-06-R27,2025-09-06,2:18 PM,27,MIXED 500M QUALIFYING,Qualifying,500,6,,TOHK Chili,10,1,02:28.1,,4
2025_GWNC,2025-09-06-R28,2025-09-06,2:18 PM,28,MIXED 500M QUALIFYING,Qualifying,500,1,,Google Canada Dragons,30,3,02:46.1,,4
2025_GWNC,2025-09-06-R28,2025-09-06,2:30 PM,28,MIXED 500M QUALIFYING,Qualifying,500,2,,True North Leviathan Gold,20,2,02:17.8,,4
2025_GWNC,2025-09-06-R28,2025-09-06,2:30 PM,28,MIXED 500M QUALIFYING,Qualifying,500,3,,KPMG Blue Steel,32,5,02:50.0,,4
2025_GWNC,2025-09-06-R28,2025-09-06,2:30 PM,28,MIXED 500M QUALIFYING,Qualifying,500,4,,MOFOS,39,1,02:16.9,,4
2025_GWNC,2025-09-06-R28,2025-09-06,2:30 PM,28,MIXED 500M QUALIFYING,Qualifying,500,5,,JETAA Fighting Carps,6,4,02:47.0,,4
2025_GWNC,2025-09-06-R28,2025-09-06,2:30 PM,28,MIXED 500M QUALIFYING,Qualifying,500,6,,Ship Disturbers (S),74,6,03:10.2,,4
2025_GWNC,2025-09-06-R29,2025-09-06,2:30 PM,29,MIXED 500M QUALIFYING,Qualifying,500,1,,TOHK Garlic,9,2,02:31.4,,4
2025_GWNC,2025-09-06-R29,2025-09-06,2:42 PM,29,MIXED 500M QUALIFYING,Qualifying,500,2,,Toronto Running Club ( TRC ),42,3,02:47.1,,4
2025_GWNC,2025-09-06-R29,2025-09-06,2:42 PM,29,MIXED 500M QUALIFYING,Qualifying,500,3,,Serious Contenders,73,5,03:04.7,,4
2025_GWNC,2025-09-06-R29,2025-09-06,2:42 PM,29,MIXED 500M QUALIFYING,Qualifying,500,4,,Ready-Paddle-One,75,6,03:15.0,,4
2025_GWNC,2025-09-06-R29,2025-09-06,2:42 PM,29,MIXED 500M QUALIFYING,Qualifying,500,5,,Water Vipers Performance,4,1,02:25.2,,4
2025_GWNC,2025-09-06-R29,2025-09-06,2:42 PM,29,MIXED 500M QUALIFYING,Qualifying,500,6,,Double Double Dragons,70,4,02:56.7,,4
2025_GWNC,2025-09-06-R30,2025-09-06,2:42 PM,30,MIXED 500M QUALIFYING,Qualifying,500,1,,Northern Spirit (S),38,6,03:04.8,,5
2025_GWNC,2025-09-06-R30,2025-09-06,2:54 PM,30,MIXED 500M QUALIFYING,Qualifying,500,2,,South Niagara Canoe Club Canal Dragons,57,3,02:35.5,,5
2025_GWNC,2025-09-06-R30,2025-09-06,2:54 PM,30,MIXED 500M QUALIFYING,Qualifying,500,3,,York Dragons,65,5,02:40.1,,5
2025_GWNC,2025-09-06-R30,2025-09-06,2:54 PM,30,MIXED 500M QUALIFYING,Qualifying,500,4,,True North Leviathan Red,19,2,02:20.5,,5
2025_GWNC,2025-09-06-R30,2025-09-06,2:54 PM,30,MIXED 500M QUALIFYING,Qualifying,500,5,,Tribal Aloha,49,4,02:38.6,,5
